task,truth
41,0
50,0
62,0
75,0
137,0
258,0
280,0
352,0
359,0
429,0
449,0
494,0
499,0
521,0
538,0
541,0
564,0
567,0
588,0
618,0
619,0
628,0
643,0
719,1
731,1
748,1
788,0
815,1
832,0
847,0
849,0
881,0
886,0
897,0
922,0
955,0
969,0
981,0
999,0
1080,0
1102,0
1156,0
1179,0
1228,0
1245,0
1259,0
1305,0
1325,0
1412,1
1472,0
1476,0
1503,0
1505,0
1540,0
1593,0
1615,0
1623,0
1624,0
1675,0
1689,0
1749,0
1765,0
1792,0
1824,0
1842,0
1888,0
1889,1
1925,0
1933,0
2004,0
2041,0
2094,0
2097,0
2100,1
2107,0
2118,1
2124,0
2142,1
2152,0
2162,0
2181,0
2189,0
2198,1
2223,1
2259,0
2298,0
2333,0
2393,0
2496,0
2504,1
2509,0
2521,0
2567,0
2619,0
2640,0
2669,0
2717,0
2718,0
2727,1
2739,0
2747,0
2756,0
2761,0
2836,0
2867,0
2870,0
2946,0
2950,0
2963,0
3062,1
3091,0
3101,1
3160,1
3166,0
3170,0
3194,1
3281,0
3328,0
3347,0
3417,0
3444,0
3483,0
3485,0
3540,0
3542,0
3615,0
3779,0
3792,0
3795,0
3796,0
3848,0
3941,0
3956,0
3962,0
4029,0
4048,0
4088,0
4148,0
4149,0
4152,0
4265,0
4277,0
4292,0
4297,0
4300,0
4345,0
4354,0
4467,0
4472,0
4493,1
