task,truth
42,0
46,0
59,1
62,0
84,0
141,0
146,0
147,0
156,0
182,0
193,0
250,0
276,1
331,0
336,0
351,0
394,0
395,0
408,0
451,1
488,0
540,0
560,0
583,0
586,1
615,0
622,0
625,0
626,0
639,0
649,0
656,0
661,0
720,0
722,0
743,0
770,1
797,0
810,0
828,0
839,0
841,0
876,0
896,1
919,0
934,0
951,0
987,0
991,0
1045,0
1063,1
1083,0
1121,0
1139,0
1158,1
1162,0
1196,0
1200,0
1201,0
1207,0
1220,1
1231,0
1262,0
1266,1
1292,0
1296,0
1304,0
1314,0
1326,0
1356,1
1400,0
1404,1
1475,0
1530,0
1541,0
1565,0
1571,0
1579,0
1580,0
1597,0
1602,1
1611,0
1621,0
1636,0
1669,0
1674,0
1705,0
1742,0
1760,1
1812,0
1818,0
1835,0
1863,0
1887,1
1891,0
1901,0
1911,0
1947,0
1951,0
1979,0
