task,truth
44,0
48,0
64,0
74,1
89,0
90,0
103,0
105,0
128,0
154,0
187,0
193,0
195,0
202,0
203,0
243,0
252,1
277,0
281,0
359,0
402,0
453,0
515,0
556,0
598,0
599,1
603,0
614,0
615,0
634,0
635,0
657,0
658,0
664,0
688,1
693,0
709,0
710,0
714,0
729,0
761,0
773,0
796,0
842,0
859,0
902,0
917,0
944,0
952,0
991,0
1000,0
1052,0
1083,0
1106,1
1162,0
1186,0
1202,0
1266,1
1295,0
1300,1
1369,0
1373,0
1374,0
1377,0
1378,0
1384,0
1392,0
1403,0
1428,0
1449,0
1475,0
1500,0
1529,1
1547,0
1560,0
1596,1
1602,1
1631,1
1634,1
1645,0
1647,0
1658,0
1660,0
1727,0
1731,0
1748,0
1762,0
1763,0
1777,1
1780,1
1782,0
1803,1
1819,0
1863,0
1872,0
1895,0
1900,0
1905,1
1908,0
1976,1
