task,truth
6,0
28,0
29,0
87,0
92,0
100,1
116,0
136,0
139,0
144,1
146,0
148,0
149,0
163,0
174,0
222,0
275,0
278,0
284,0
335,0
341,0
349,1
353,0
360,0
361,0
367,0
384,0
387,1
389,0
395,0
423,0
447,0
448,0
471,0
474,0
493,0
499,0
521,0
576,0
602,0
621,0
630,0
691,0
713,1
721,0
778,0
781,0
782,0
812,0
816,0
829,0
831,0
843,0
864,0
884,0
897,0
906,0
940,0
945,1
960,0
967,0
968,0
1002,0
1073,0
1105,0
1113,0
1142,0
1169,0
1215,0
1224,0
1397,0
1437,0
1470,0
1474,0
1489,1
1499,0
1508,0
1536,0
1573,0
1583,0
1588,0
1615,0
1627,0
1666,0
1667,0
1672,0
1683,0
1693,0
1720,0
1729,1
1817,0
1829,0
1833,0
1839,0
1911,0
1927,1
1969,0
1986,0
1994,1
1999,1
