task,truth
41,0
61,0
112,0
126,0
132,0
133,0
136,0
156,0
170,0
206,0
244,0
267,0
291,0
314,0
336,0
371,0
392,0
412,0
427,0
451,1
469,1
483,0
515,0
530,0
546,0
558,0
565,0
570,0
571,0
578,0
606,0
623,0
630,0
631,0
665,0
674,0
689,0
705,0
716,0
729,0
732,0
740,0
787,0
806,0
830,0
857,0
878,0
890,0
923,0
937,0
959,0
967,0
969,0
986,0
1003,0
1005,0
1037,0
1044,0
1056,0
1066,0
1083,0
1121,0
1122,1
1125,0
1131,1
1147,0
1149,0
1164,0
1214,0
1233,0
1271,1
1305,0
1320,0
1344,0
1363,0
1367,0
1381,0
1382,0
1410,0
1439,0
1463,1
1471,0
1475,0
1497,0
1513,0
1537,0
1553,0
1577,0
1605,0
1615,0
1648,0
1665,0
1678,1
1704,0
1770,0
1785,0
1839,0
1982,0
1984,0
1986,0
