task,truth
8,0
9,0
38,0
86,0
113,0
132,0
145,0
146,0
170,0
180,0
215,0
239,0
252,1
347,0
406,0
441,1
451,1
453,0
496,0
513,0
519,0
520,0
525,0
534,0
551,0
562,0
564,0
568,1
598,0
599,1
605,0
717,0
719,1
730,0
731,1
748,1
758,0
807,0
819,0
826,0
837,0
866,0
872,0
893,0
895,0
958,0
974,1
976,0
986,0
1033,0
1060,0
1087,0
1119,1
1200,0
1213,0
1266,1
1270,0
1272,0
1280,0
1308,0
1351,0
1402,0
1420,0
1422,0
1441,0
1445,0
1454,0
1500,0
1501,0
1507,0
1535,0
1543,0
1546,1
1563,0
1572,0
1589,0
1654,0
1664,0
1700,0
1701,0
1717,0
1749,0
1762,0
1764,0
1770,0
1807,0
1825,1
1829,0
1838,0
1840,0
1846,0
1877,1
1899,0
1903,0
1925,0
1930,0
1964,0
1976,1
1978,0
1998,0
