task,truth
6,0
31,0
33,0
50,0
58,0
63,0
71,0
99,0
110,0
111,0
147,0
173,0
196,0
197,0
199,0
200,0
240,1
250,0
252,1
265,0
274,0
312,0
361,0
364,0
413,0
458,0
470,0
483,0
498,0
506,0
520,0
531,0
605,0
645,0
663,0
668,0
740,0
748,1
753,0
778,0
788,0
804,0
824,0
831,0
843,0
849,0
850,0
875,0
888,0
892,0
905,0
943,0
957,0
962,0
972,0
1038,1
1107,0
1120,0
1151,0
1156,0
1207,0
1240,0
1262,0
1265,1
1283,0
1306,1
1352,0
1355,0
1397,0
1405,0
1411,0
1418,0
1427,0
1441,0
1455,1
1511,1
1572,0
1580,0
1606,0
1607,0
1615,0
1648,0
1666,0
1693,0
1716,1
1741,0
1749,0
1759,0
1765,0
1775,0
1785,0
1789,1
1807,0
1812,0
1818,0
1821,0
1845,0
1846,0
1934,0
1989,0
