worker,value
0,0.6609954459755563
1,0.43685322564710516
2,0.4478981153809275
3,0.6492780935310888
4,0.5898302004481797
5,0.4891151686252237
6,0.6013654800213494
7,0.433503912448297
8,0.45275411919004555
9,0.6981501909648239
10,0.43797827376384724
11,0.572352915308687
12,0.6430019694002249
13,0.7384691898842801
14,0.5551903423149106
15,0.4921463478747808
16,0.6148059746080692
17,0.5682596997410543
18,0.5956034227858129
19,0.4333558392305546
20,0.6346306433994758
21,0.5802737844981192
22,0.5531698657890036
23,0.5672115399633796
24,0.6444653673576594
25,0.6684929306681816
26,0.5450483194811694
27,0.6933903647816987
28,0.5532020531676842
29,0.8233876920846822
30,0.43212107140162215
31,0.5801317016388527
32,0.5039647871640782
33,0.5891020777691994
34,0.5316638971738774
35,0.6789988759749314
36,0.43001324876872116
37,0.536148530724245
38,0.5382710236446272
39,0.6421290157787366
40,0.6759422075090256
41,0.7091629583291994
42,0.6111452824065379
43,0.7288542218309269
44,0.5550519135087597
45,0.729828416962575
46,0.6360936136261556
47,0.685799124381611
48,0.6624625338970431
49,0.6530206059090338
50,0.5109260963388806
51,0.7469182037134842
52,0.6365524910791354
53,0.5149840466443891
54,0.5465988953127537
55,0.6847015205954867
56,0.6399452165928399
57,0.522715972884181
58,0.7110778421313122
59,0.4529993876201841
60,0.5281396941174071
61,0.5575230810844783
62,0.7792379079542349
63,0.44687042303656743
64,0.6513453783565504
65,0.5848394917316831
66,0.7341121651010099
67,0.7326542835784474
68,0.5409484374902606
69,0.5384698406741207
70,0.48261118259008523
71,0.6327889001156655
72,0.6233544565331048
73,0.8437770000626413
74,0.788049511903736
75,0.5349861355901324
76,0.5428395457539745
77,0.6337171234267746
78,0.6744858266116559
79,0.6887435312206136
80,0.6312416156845866
81,0.605542146948788
82,0.616466681847665
83,0.8114230148435311
84,0.7077790269380149
85,0.6336460134153515
86,0.5986748928944984
87,0.5910407601436516
88,0.5802209618728029
89,0.6108256977214304
90,0.667726429661074
91,0.5901368616157779
92,0.7094312202814129
93,0.6682200620370978
94,0.5271429985137995
95,0.5867460541665052
96,0.588037722065922
97,0.7030621895055099
98,0.5790340547190115
99,0.5870624056419167
100,0.5221629364898749
101,0.6558539921769071
102,0.4675537559067897
103,0.723133976835329
104,0.3879596166711017
105,0.5834866755658848
106,0.5402591778068563
107,0.5963077323430096
108,0.5978413552138753
109,0.687056809699432
110,0.6467293356473102
111,0.49069032030880533
112,0.6943131102610813
113,0.5434408882712422
114,0.7614479385641459
115,0.8110216023440787
116,0.3789103975185504
117,0.5529955809521873
118,0.6527449025428935
119,0.6209427306240625
120,0.557606768520592
121,0.7081737155117159
122,0.7755548504960612
123,0.5479701859856922
124,0.7162831831209056
125,0.7625900866371998
126,0.5801894687555217
127,0.5263883574551611
128,0.6665416843843914
129,0.7269215527322298
130,0.35583259268737644
131,0.5872651810965579
132,0.5073770519794067
133,0.5517636779223298
134,0.5985252589246928
135,0.6426497305553522
136,0.6492419234620586
137,0.5925551871122524
138,0.6853549569208572
139,0.6171465048982043
140,0.6813022764788975
141,0.6788117245131742
142,0.367359765860959
143,0.49813901275748407
144,0.5670210729508923
145,0.461539974507736
146,0.5312557007680506
147,0.5685123981745965
148,0.4311541520888455
149,0.4042876550849126
