task,truth
129,0
205,0
439,0
488,0
533,0
561,0
618,0
622,0
688,1
707,0
768,0
803,0
863,0
875,0
960,0
1007,0
1052,0
1196,0
1212,0
1240,0
1586,0
1598,0
1625,0
1703,0
1742,0
1837,1
2013,0
2033,0
2050,0
2065,0
2074,0
2075,1
2084,0
2237,0
2329,0
2566,0
2612,0
2664,0
2675,0
2778,0
2833,0
2875,0
2982,0
3017,0
3038,0
3243,0
3277,0
3290,0
3293,0
3446,0
3504,0
3543,0
3795,0
3855,0
3929,0
3942,0
4142,0
4174,0
4260,1
4296,1
4321,1
4400,0
4405,0
4447,0
4607,0
4628,0
4629,0
4688,0
4696,1
4698,0
4763,0
4789,0
4800,1
4815,0
4837,0
4955,0
4961,0
5059,0
5191,0
5269,0
5313,0
5576,1
5933,0
5991,0
6042,0
6271,0
6544,0
6570,0
6576,0
6601,0
6655,1
7081,0
7406,0
7486,0
7633,0
7651,0
7696,0
7737,0
7805,0
7846,0
