worker,task,answer
0.0,0,1
0.0,1,0
0.0,3,0
0.0,5,0
0.0,8,1
0.0,10,0
0.0,12,1
0.0,14,0
0.0,16,1
0.0,21,1
0.0,39,1
0.0,41,0
0.0,44,0
0.0,49,1
1.0,9,1
1.0,18,1
1.0,20,1
1.0,21,1
1.0,25,0
1.0,30,0
1.0,37,1
1.0,42,1
1.0,43,1
1.0,45,0
2.0,1,0
2.0,12,1
2.0,14,1
2.0,15,0
2.0,16,1
2.0,17,1
2.0,23,0
2.0,24,0
2.0,26,1
2.0,28,0
2.0,31,1
2.0,32,1
2.0,38,0
2.0,48,0
2.0,49,1
4.0,0,1
4.0,9,0
4.0,11,1
4.0,12,0
4.0,24,1
4.0,31,1
4.0,39,0
4.0,41,0
4.0,44,1
5.0,0,1
5.0,2,0
5.0,3,1
5.0,4,0
5.0,5,1
5.0,6,0
5.0,18,1
5.0,19,1
5.0,22,0
5.0,24,1
5.0,33,1
5.0,39,1
5.0,40,1
5.0,42,0
5.0,43,1
5.0,45,1
5.0,47,1
7.0,0,1
7.0,3,1
7.0,4,1
7.0,5,1
7.0,8,1
7.0,13,0
7.0,15,1
7.0,16,1
7.0,23,1
7.0,31,0
7.0,40,0
7.0,44,1
7.0,46,0
7.0,47,1
8.0,3,0
8.0,9,0
8.0,15,0
8.0,23,1
8.0,26,0
8.0,32,1
8.0,38,1
9.0,4,0
9.0,7,1
9.0,8,0
9.0,9,1
9.0,12,0
9.0,24,1
9.0,27,1
9.0,28,1
9.0,30,0
9.0,33,0
9.0,36,1
9.0,42,0
9.0,45,0
9.0,46,1
9.0,48,0
9.0,49,0
10.0,7,0
10.0,8,1
10.0,9,0
10.0,12,0
10.0,13,0
10.0,15,1
10.0,17,1
10.0,19,0
10.0,30,0
10.0,31,1
12.0,0,1
12.0,1,1
12.0,3,1
12.0,15,0
12.0,16,1
12.0,24,1
12.0,25,1
12.0,29,0
12.0,30,1
12.0,31,0
12.0,40,0
12.0,42,1
12.0,46,1
12.0,47,1
12.0,49,0
13.0,11,1
13.0,18,0
13.0,19,0
13.0,20,0
13.0,29,0
13.0,31,0
13.0,34,1
13.0,47,0
13.0,49,0
16.0,2,1
16.0,7,1
16.0,12,1
16.0,15,1
16.0,17,1
16.0,20,0
16.0,23,1
16.0,26,1
16.0,36,0
16.0,37,1
16.0,44,0
16.0,46,0
16.0,47,0
16.0,48,1
21.0,5,1
21.0,6,1
21.0,10,0
21.0,17,0
21.0,34,0
21.0,37,0
24.0,0,1
24.0,9,1
24.0,11,0
24.0,12,0
24.0,14,0
24.0,15,0
