task,truth
0,0
45,0
54,0
75,0
78,1
93,0
109,0
205,0
221,0
257,1
285,0
294,0
325,0
326,0
359,0
363,0
384,0
385,0
476,0
487,0
522,0
534,0
535,0
575,0
608,0
670,0
680,0
683,0
700,0
737,0
741,0
765,0
769,0
817,1
820,0
848,0
868,0
870,0
875,0
881,0
902,0
975,0
980,0
1012,0
1015,0
1021,1
1035,0
1043,0
1050,0
1055,0
1068,0
1077,0
1083,0
1154,0
1161,0
1165,0
1166,0
1222,0
1228,0
1244,0
1247,0
1258,0
1264,0
1269,0
1274,0
1295,0
1319,1
1321,0
1326,0
1332,0
1364,0
1413,0
1438,0
1478,0
1486,0
1496,1
1510,0
1512,0
1515,0
1531,1
1561,0
1595,0
1606,0
1617,0
1626,0
1654,0
1717,0
1721,0
1780,1
1789,1
1809,0
1833,0
1849,0
1855,0
1873,0
1896,1
1904,0
1910,0
1923,0
1968,0
