task,truth
23,1
26,0
67,0
73,0
81,0
96,0
146,0
182,0
203,0
247,0
254,0
257,1
279,0
307,0
340,0
373,0
379,0
411,0
427,0
502,0
541,0
547,1
557,0
647,0
652,0
656,0
686,0
701,0
707,0
730,0
734,0
753,0
787,0
803,0
811,0
813,0
825,0
871,0
895,0
920,0
924,0
936,0
961,0
1010,0
1021,1
1040,1
1053,0
1059,0
1078,0
1113,0
1233,0
1242,0
1247,0
1255,0
1298,0
1315,0
1331,0
1336,0
1344,0
1501,0
1512,0
1517,1
1523,0
1597,0
1734,0
1745,0
1760,1
1797,0
1815,0
1817,0
1830,0
1834,0
1914,0
1970,1
1975,0
2038,0
2073,0
2075,1
2085,0
2104,0
2223,1
2239,0
2246,0
2249,0
2324,0
2340,0
2425,0
2427,0
2455,0
2476,0
2489,0
2532,0
2543,0
2570,0
2621,0
2631,1
2668,0
2672,0
2696,0
2699,0
2746,0
2750,1
2751,1
2776,0
2777,0
2785,0
2944,0
2951,0
3024,0
3027,0
3077,1
3098,0
3112,0
3121,0
3184,0
3249,0
3267,0
3268,0
3291,1
3327,0
3367,0
3417,0
3493,0
3545,0
3567,0
3569,0
3601,0
3676,1
3725,1
3762,0
3791,0
3826,0
3858,0
3931,1
3936,0
3946,0
3978,0
3996,0
4012,0
4198,0
4222,0
4262,0
4268,0
4270,0
4299,0
4300,0
4329,0
4345,0
4356,0
4370,0
