task,truth
63,0
82,0
106,1
108,0
137,0
156,0
157,0
162,0
200,0
219,0
226,0
274,0
334,0
344,0
375,0
401,0
403,0
418,0
423,0
469,1
470,0
527,0
609,0
630,0
639,0
902,0
910,0
939,0
984,0
994,0
1020,0
1067,0
1093,0
1171,0
1201,0
1212,0
1225,0
1230,0
1263,1
1279,0
1313,0
1332,0
1335,0
1353,1
1449,0
1477,0
1478,0
1483,0
1510,0
1521,0
1550,0
1585,0
1588,0
1634,1
1671,0
1695,0
1700,0
1766,0
1779,0
1780,1
1819,0
1836,0
1878,0
1941,0
1950,0
2017,0
2020,0
2036,0
2058,0
2100,1
2106,0
2153,0
2182,1
2185,0
2205,0
2228,0
2231,0
2278,0
2329,0
2356,0
2414,0
2416,1
2454,1
2483,0
2552,0
2561,0
2580,0
2587,0
2632,0
2646,0
2655,0
2657,1
2683,0
2711,0
2732,0
2737,0
2759,0
2761,0
2856,0
2890,0
2955,0
2960,0
3088,0
3094,0
3128,0
3137,0
3206,0
3209,0
3307,1
3315,0
3459,0
3482,0
3525,0
3564,0
3570,0
3596,0
3613,0
3631,0
3681,0
3777,1
3780,0
3799,0
3828,0
3832,1
3833,0
3837,0
3842,0
3849,0
3860,1
3917,0
3939,0
3966,0
4054,0
4056,0
4114,0
4158,0
4169,1
4177,0
4199,0
4296,1
4301,0
4303,0
4309,0
4314,0
4320,0
4389,0
4418,0
4443,0
4488,0
4494,0
