task,truth
10,0
33,0
78,1
119,0
140,0
173,0
259,0
266,0
300,0
308,0
340,0
373,0
384,0
406,0
412,0
420,0
451,1
466,0
477,0
490,0
503,1
533,0
601,0
620,0
647,0
653,0
704,0
733,0
738,0
740,0
741,0
766,0
780,0
803,0
807,0
818,0
843,0
859,0
867,1
869,0
874,1
926,0
935,0
939,0
978,0
984,0
1005,0
1023,0
1035,0
1055,0
1066,0
1083,0
1098,0
1113,0
1120,0
1122,1
1125,0
1137,0
1178,0
1182,0
1214,0
1246,1
1270,0
1275,0
1286,1
1311,0
1352,0
1376,0
1416,0
1440,0
1442,0
1447,0
1450,0
1472,0
1479,0
1505,0
1558,0
1564,0
1574,0
1575,0
1583,0
1591,0
1625,0
1626,0
1646,0
1652,0
1724,0
1730,0
1749,0
1752,0
1781,0
1831,0
1840,0
1848,0
1854,0
1856,0
1864,0
1881,0
1942,0
1975,0
