task,truth
16,0
52,0
63,1
85,0
89,0
93,1
98,1
100,1
106,1
111,1
116,0
127,1
135,1
136,0
159,0
200,0
201,0
204,0
210,1
224,0
226,0
236,1
246,0
265,0
275,0
285,1
302,0
313,0
319,0
338,0
343,1
358,1
368,0
393,1
395,1
404,0
406,0
407,1
421,0
428,1
447,0
448,1
450,1
453,0
455,0
456,1
458,1
471,1
472,1
487,0
492,1
498,1
500,0
509,1
511,0
512,1
520,0
524,0
543,1
553,1
554,0
563,0
593,0
599,1
611,1
614,1
619,0
644,1
650,1
655,1
660,1
666,1
686,1
687,1
705,1
710,0
717,1
733,1
742,0
761,0
766,1
790,0
799,1
811,1
816,0
827,0
837,0
845,1
857,0
860,1
863,1
878,0
891,0
929,0
932,1
941,1
955,0
956,0
958,1
970,1
