task,truth
1,1
13,1
49,0
54,0
58,0
61,0
70,0
84,1
88,1
97,1
107,1
114,1
118,1
121,1
122,1
125,0
134,0
137,1
143,1
147,0
158,0
166,1
169,0
175,0
178,0
211,1
219,1
229,0
250,0
262,1
267,1
273,0
289,0
307,0
310,0
347,0
389,1
400,0
416,1
429,1
436,1
445,1
446,0
469,0
484,1
490,0
508,0
545,1
548,0
551,1
555,0
560,0
570,0
573,1
579,1
584,1
591,0
607,0
649,0
651,0
667,0
677,0
694,1
707,1
714,1
716,0
729,0
760,0
767,0
779,0
792,1
793,0
797,0
801,0
803,0
804,0
809,0
825,1
830,1
843,1
856,1
864,1
869,0
882,0
887,1
895,1
902,0
912,1
915,1
916,0
921,0
926,1
940,1
967,0
976,0
982,0
986,0
990,0
992,1
995,0
