task,truth
4,1
6,1
12,0
15,1
19,1
21,1
23,1
26,1
35,0
50,1
64,0
68,1
78,0
81,1
104,1
142,1
150,0
163,1
174,0
176,1
189,1
205,1
209,0
213,0
241,1
248,1
254,0
278,1
280,0
304,1
305,0
321,1
334,0
335,0
340,1
349,1
351,0
353,0
356,0
359,1
361,0
365,1
370,0
397,1
401,0
418,0
424,1
434,1
440,1
462,1
482,1
497,1
518,0
536,0
552,1
558,1
568,0
574,0
592,0
604,0
618,1
635,0
636,0
638,0
645,1
659,0
680,1
682,1
698,0
706,1
712,1
756,1
759,0
769,0
773,1
776,1
798,0
820,1
839,0
854,1
859,1
861,0
865,0
866,0
868,1
870,0
876,0
879,0
880,0
881,1
896,0
917,0
952,0
961,1
962,1
965,0
968,1
972,1
973,1
983,0
