task,truth
3,0
7,1
28,1
30,1
32,0
34,0
38,1
40,1
51,1
53,1
55,0
60,1
66,1
67,0
83,1
105,0
109,0
119,0
123,1
133,0
141,0
156,1
167,1
173,1
180,0
197,1
214,1
237,0
247,0
257,1
274,0
276,1
288,1
320,1
324,1
325,0
327,0
344,0
352,0
354,1
369,1
373,1
375,1
376,0
379,0
381,1
382,0
396,1
413,0
415,0
425,1
435,0
438,1
459,1
460,0
478,1
489,1
491,0
502,1
517,0
519,1
535,0
577,0
586,0
601,0
662,1
674,0
676,0
679,0
681,1
684,0
688,0
702,1
745,0
749,0
752,1
758,1
763,1
772,0
774,0
781,1
782,0
805,1
813,1
814,1
831,0
836,0
846,0
853,1
890,0
893,1
897,0
930,0
939,0
943,0
947,0
948,0
975,0
979,0
988,1
