task,truth
27,0
42,1
46,0
86,1
131,1
145,0
153,0
164,0
192,1
203,0
221,0
228,1
240,1
242,1
245,0
263,1
270,0
271,0
272,0
298,1
312,1
314,1
315,1
318,0
322,0
326,1
350,1
364,0
367,1
374,0
377,0
380,1
387,1
412,0
414,0
423,1
433,0
439,0
451,0
461,1
463,1
488,0
493,0
494,0
495,0
499,0
522,0
523,0
533,1
537,0
544,1
557,0
565,1
571,0
581,1
589,0
595,0
606,1
609,0
610,1
640,0
652,0
658,0
661,0
664,0
685,0
693,0
699,1
727,0
739,0
743,0
747,1
753,0
755,1
757,0
770,0
778,0
780,1
791,1
821,1
822,0
844,1
849,1
871,1
872,1
875,0
883,0
884,1
901,0
904,0
906,1
911,0
918,0
949,1
957,0
966,1
971,0
981,0
996,1
997,0
