task,truth
18,0
25,0
31,0
48,0
57,1
75,1
79,0
87,0
91,1
92,1
101,1
120,1
128,1
132,1
139,1
146,1
157,0
161,1
183,1
186,1
198,0
207,1
208,0
212,1
216,1
217,0
218,0
227,0
232,0
233,0
238,0
255,1
256,0
286,1
294,1
311,1
316,0
330,0
332,1
341,0
346,0
394,0
399,1
409,1
411,0
422,0
427,0
441,1
464,0
467,1
470,1
476,1
483,0
505,0
526,1
527,0
561,0
564,1
576,0
580,1
594,1
608,1
620,0
621,0
622,0
625,1
626,0
628,1
631,0
632,1
672,0
701,0
703,1
709,1
723,1
728,1
738,0
740,1
744,1
748,0
762,1
777,1
808,0
817,0
832,0
833,1
834,1
840,1
847,1
852,0
908,0
920,0
935,1
937,0
945,0
951,0
963,1
978,1
980,0
984,1
