task,truth
0,1
5,0
17,0
37,1
72,1
82,0
95,0
96,0
113,0
151,0
168,0
179,1
185,0
188,1
190,1
193,0
195,1
222,0
225,1
234,0
235,0
239,0
252,1
261,0
264,1
266,0
268,1
277,1
279,0
292,0
296,1
297,0
299,0
300,0
309,0
323,0
329,1
331,1
337,0
355,0
371,0
378,0
383,1
388,0
402,1
408,0
419,1
426,0
444,0
452,0
465,0
468,1
475,1
477,0
496,1
507,1
532,1
534,1
540,1
567,1
569,0
597,1
598,1
605,0
627,1
630,1
639,1
643,1
663,1
665,0
696,0
700,1
721,1
724,1
725,1
732,0
736,1
765,1
775,0
783,1
787,0
795,1
800,1
806,1
815,0
828,1
848,0
851,1
855,0
874,0
885,0
894,1
910,0
924,1
925,1
927,0
933,0
942,0
985,1
998,1
