task,truth
2,1
39,0
41,1
43,1
69,0
71,0
80,1
102,1
130,0
138,1
148,0
162,1
165,0
170,1
172,1
184,0
194,1
196,1
199,0
202,1
215,1
220,1
231,1
249,1
258,0
260,0
269,1
295,0
303,0
333,1
345,1
357,1
360,0
390,1
417,1
420,1
442,0
443,0
457,1
473,0
486,0
510,1
513,1
514,0
515,1
528,0
530,1
539,1
542,0
550,1
559,0
562,0
566,0
582,0
583,1
596,0
600,1
602,0
612,1
613,1
616,0
641,0
646,1
654,0
670,0
675,0
678,1
695,1
708,1
713,1
715,0
719,0
726,1
730,0
731,0
735,0
737,1
751,0
754,1
789,1
796,1
802,0
823,1
824,1
838,1
842,0
858,1
877,0
886,1
892,1
903,0
913,1
923,1
934,0
944,1
950,1
960,1
974,0
987,0
993,0
