task,truth
8,1
9,0
20,1
24,0
33,1
36,1
45,0
47,1
56,0
59,0
73,0
76,1
77,0
99,1
115,1
124,0
126,0
144,1
149,0
154,0
160,0
177,0
191,1
243,0
251,0
253,1
259,1
282,0
283,1
287,0
291,0
301,1
306,1
308,1
317,0
336,0
362,1
363,1
366,0
385,0
386,1
405,0
410,0
430,1
431,1
432,1
454,0
474,1
479,0
480,1
481,1
485,1
503,0
504,0
516,1
525,1
529,1
541,0
546,1
547,0
556,0
575,1
585,1
588,1
603,0
617,1
633,0
637,0
642,0
653,1
656,0
657,0
671,0
689,1
690,1
691,1
692,1
711,1
718,1
720,1
722,0
741,1
746,0
768,0
786,0
807,1
812,0
818,0
819,1
889,0
898,0
899,1
900,1
907,0
931,0
938,0
959,0
964,0
989,1
991,1
