2001	1
2002	0
2003	0
2004	1
2005	0
2006	0
2007	1
2008	0
2009	0
2010	1
2011	0
2012	0
2013	0
2014	0
2015	0
2016	1
2017	1
2018	0
2019	0
2020	0
2021	0
2022	0
2023	0
2024	1
2025	0
2026	0
2027	0
2028	1
2029	1
2030	0
2031	0
2032	1
2033	1
2034	0
2035	1
2036	1
2037	0
2038	0
2039	1
2040	1
2041	0
2042	0
2043	0
2044	0
2045	1
2046	0
2047	0
2048	0
2049	0
2050	0
2051	1
2052	0
2053	1
2054	0
2055	0
2056	1
2057	0
2058	1
2059	1
2060	0
2061	1
2062	0
2063	0
2064	1
2065	0
2066	0
2067	1
2068	0
2069	0
2070	0
2071	0
2072	0
2073	1
2074	0
2075	0
2076	1
2077	0
2078	1
2079	0
2080	1
2081	1
2082	0
2083	0
2084	0
2085	0
2086	0
2087	1
2088	0
2089	0
2090	0
2091	1
2092	0
2093	0
2094	1
2095	1
2096	0
2097	0
2099	0
2100	1
2101	1
2102	0
2103	0
2104	0
2105	1
2106	1
2107	1
2108	1
2109	1
2110	0
2111	1
2112	0
2113	0
2114	0
2115	0
2116	0
2117	1
2118	0
2119	0
2120	0
2121	1
2122	0
2123	0
2124	0
2125	0
2126	1
2127	1
2128	1
2129	1
2130	1
2131	1
2132	0
2133	0
2134	0
2135	0
2136	0
2137	0
2138	0
2139	0
2140	0
2141	1
2142	1
2143	0
2144	0
2145	0
2147	1
2148	1
2149	0
2150	1
2151	1
2152	0
2153	0
2154	0
2155	0
2156	0
2157	0
2158	0
2159	1
2160	0
2161	1
2162	1
