task,truth
4,0
8,0
27,0
31,0
32,0
38,0
39,0
41,0
70,0
75,0
78,1
103,0
115,0
133,0
145,0
149,0
155,0
171,0
178,0
201,0
202,0
207,1
211,0
214,1
215,0
220,0
226,0
232,0
234,0
240,1
242,0
258,0
259,0
260,0
268,0
279,0
282,0
284,0
296,0
298,0
312,0
317,0
319,0
344,0
346,0
347,0
353,0
355,0
362,0
372,0
378,0
389,0
409,0
410,0
412,0
426,0
448,0
457,0
465,0
478,0
500,0
522,0
539,0
544,0
557,0
562,0
572,0
588,0
589,1
596,0
597,0
613,0
614,0
615,0
621,0
626,0
629,0
637,0
644,0
645,0
647,0
651,0
652,0
656,0
658,0
663,0
698,0
700,0
701,0
703,0
720,0
723,0
729,0
735,0
736,0
738,0
742,0
754,1
786,0
821,1
832,0
843,0
854,0
858,0
865,0
903,0
913,0
919,0
921,0
926,0
936,0
944,0
978,0
994,0
1021,1
1065,0
1072,0
1073,0
1080,0
1090,1
1102,0
1114,0
1133,0
1145,0
1146,0
1149,0
1154,0
1160,0
1171,0
1192,0
1207,0
1210,0
1232,0
1234,0
1235,0
1242,0
1246,1
1269,0
1287,0
1296,0
1316,0
1323,0
1336,0
1343,0
1344,0
1358,0
1363,0
1391,0
1403,0
1415,0
1423,0
1471,0
1475,0
1482,1
1491,1
1495,0
1517,1
1519,0
1523,0
1526,0
1529,1
1540,0
1565,0
1585,0
1586,0
1589,0
1594,0
1597,0
1602,1
1628,0
1632,1
1656,0
1659,0
1671,0
1680,0
1688,0
1692,0
1700,0
1707,0
1709,0
1722,0
1771,0
1787,0
1788,0
1801,0
1820,1
1854,0
1863,0
1883,0
1885,0
1888,0
1904,0
1905,1
1959,0
1964,0
1969,0
1972,0
1975,0
1991,0
1992,0
