task,truth
0,0
23,1
26,0
78,1
85,0
135,1
138,0
144,1
162,0
163,0
187,0
208,0
251,0
256,0
308,0
314,0
337,0
405,1
413,0
440,0
459,1
502,0
528,0
548,0
559,1
601,0
617,0
625,0
626,0
656,0
662,0
665,0
714,0
715,0
725,0
728,0
734,0
749,1
752,0
758,0
788,0
803,0
816,0
842,0
855,0
860,0
871,0
890,0
891,0
925,0
955,0
962,0
1007,0
1080,0
1090,1
1093,0
1159,0
1176,0
1189,0
1196,0
1200,0
1201,0
1243,0
1244,0
1264,0
1281,0
1282,1
1307,0
1329,1
1399,0
1418,0
1423,0
1440,0
1454,0
1460,0
1463,1
1465,0
1545,0
1590,0
1610,0
1705,0
1711,0
1729,1
1733,0
1753,0
1778,0
1825,1
1862,0
1874,0
1899,0
1914,0
1922,0
1932,0
1933,0
1964,0
1979,0
1980,1
1994,1
1997,0
1998,0
