task,truth
7,0
16,0
32,0
39,0
54,0
57,1
73,0
91,0
112,0
143,0
155,0
173,0
210,0
222,0
259,0
276,1
321,1
327,0
372,0
379,0
384,0
415,0
421,0
424,0
427,0
531,0
533,0
545,0
566,0
591,0
605,0
636,0
640,0
670,0
701,0
718,0
741,0
819,0
845,0
909,1
946,0
950,0
954,0
967,0
978,0
988,1
1015,0
1025,0
1039,0
1049,0
1056,0
1076,0
1077,0
1110,0
1132,0
1139,0
1173,1
1205,0
1222,0
1239,0
1251,0
1276,0
1301,0
1337,1
1376,0
1386,0
1415,0
1425,0
1432,0
1485,0
1488,0
1526,0
1528,0
1536,0
1548,0
1552,0
1562,0
1568,0
1571,0
1580,0
1624,0
1644,0
1688,0
1689,0
1692,0
1728,0
1743,0
1749,0
1751,1
1797,0
1806,0
1818,0
1827,0
1842,0
1848,0
1881,0
1887,1
1910,0
1975,0
1982,0
