task,truth
45,0
52,1
72,0
109,0
111,0
114,0
136,0
172,0
184,0
188,1
194,0
207,1
249,0
260,0
267,0
270,0
273,0
276,1
296,0
299,1
337,0
399,0
403,0
415,0
417,0
433,0
450,0
452,0
503,1
536,0
538,0
547,1
550,0
599,1
630,0
634,0
638,0
646,0
652,0
722,0
736,0
742,0
756,0
762,1
809,0
824,0
865,0
880,0
885,0
894,0
906,0
950,0
955,0
961,0
979,0
994,0
998,0
1023,0
1060,0
1068,0
1071,0
1108,0
1128,0
1140,0
1168,0
1217,0
1223,0
1239,0
1245,0
1268,0
1300,1
1322,0
1369,0
1383,0
1393,0
1395,0
1431,0
1490,0
1516,0
1524,0
1547,0
1566,0
1579,0
1594,0
1655,1
1662,1
1691,1
1698,0
1702,0
1736,0
1787,0
1794,0
1820,1
1838,0
1839,0
1911,0
1931,0
1945,0
1954,0
1980,1
