task,truth
31,0
38,0
70,0
87,0
105,0
125,0
221,0
238,0
240,1
258,0
297,0
301,0
328,0
363,0
419,0
435,1
445,0
486,0
501,0
509,0
551,0
604,0
605,0
606,0
609,0
628,0
638,0
642,0
663,0
694,0
701,0
718,0
742,0
770,1
771,0
798,0
805,0
832,0
877,0
894,0
897,0
924,0
993,0
994,0
1009,0
1014,0
1041,0
1049,0
1093,0
1144,1
1162,0
1163,0
1169,0
1173,1
1183,0
1196,0
1227,0
1234,0
1257,1
1275,0
1314,0
1345,0
1358,0
1360,0
1369,0
1379,0
1403,0
1416,0
1427,0
1456,0
1460,0
1461,0
1468,0
1502,0
1507,0
1516,0
1533,1
1562,0
1595,0
1600,0
1602,1
1604,0
1636,0
1649,0
1688,0
1713,1
1719,1
1735,0
1776,0
1813,0
1819,0
1829,0
1850,0
1870,0
1872,0
1880,0
1899,0
1934,0
1952,0
1993,0
