task,truth
42,0
45,0
53,0
61,0
62,0
69,0
71,0
123,1
124,0
149,0
152,0
164,0
211,0
237,0
242,0
257,1
345,0
351,0
385,0
423,0
439,0
457,0
493,0
527,0
533,0
583,0
598,0
630,0
650,0
652,0
679,0
688,1
689,0
717,0
734,0
741,0
767,0
771,0
795,0
819,0
854,0
867,1
870,0
887,1
888,0
903,0
910,0
914,0
915,0
939,0
948,0
955,0
992,1
1014,0
1045,0
1050,0
1076,0
1123,0
1179,0
1181,0
1182,0
1196,0
1205,0
1210,0
1281,0
1305,0
1334,0
1345,0
1370,0
1434,0
1445,0
1468,0
1474,0
1492,0
1498,0
1500,0
1520,0
1524,0
1552,0
1618,0
1625,0
1638,0
1656,0
1683,0
1691,1
1693,0
1702,0
1719,1
1754,1
1779,0
1810,0
1821,0
1837,1
1847,0
1866,0
1881,0
1975,0
1987,0
1996,0
1999,1
