task,truth
29,0
102,0
119,0
164,0
179,1
182,0
201,0
211,0
229,0
238,0
244,0
266,0
270,0
273,0
275,0
311,0
346,0
364,0
376,0
377,0
406,0
477,0
479,0
502,0
544,0
548,0
627,0
639,0
679,0
709,0
727,0
740,0
754,1
755,0
766,0
790,0
805,0
828,0
839,0
881,0
882,0
921,0
923,0
928,0
932,0
940,0
952,0
1011,0
1071,0
1084,0
1098,0
1132,0
1157,0
1166,0
1202,0
1224,0
1286,1
1312,0
1329,1
1344,0
1370,0
1372,0
1386,0
1403,0
1454,0
1464,0
1465,0
1471,0
1489,1
1563,0
1579,0
1599,0
1601,1
1607,0
1623,0
1628,0
1650,0
1661,0
1672,0
1685,1
1724,0
1733,0
1758,0
1762,0
1786,0
1796,0
1800,0
1823,1
1833,0
1842,0
1865,0
1872,0
1881,0
1910,0
1934,0
1941,0
1943,0
1945,0
1959,0
1988,0
