task,truth
47,0
59,1
99,0
109,0
112,0
128,0
129,0
132,0
138,0
142,0
169,0
190,0
204,0
226,0
250,0
258,0
265,0
322,0
331,0
339,0
352,0
358,0
371,0
433,0
435,1
455,0
462,0
472,0
478,0
481,0
488,0
512,0
550,0
595,0
624,0
650,0
658,0
706,0
769,0
824,0
830,0
842,0
859,0
888,0
914,0
947,0
959,0
966,1
998,0
1009,0
1048,0
1064,0
1066,0
1129,0
1140,0
1147,0
1161,0
1179,0
1192,0
1314,0
1318,0
1321,0
1334,0
1335,0
1338,0
1343,0
1384,0
1406,0
1417,0
1420,0
1514,0
1528,0
1562,0
1578,0
1580,0
1613,0
1630,0
1634,1
1638,0
1649,0
1667,0
1682,0
1697,0
1698,0
1713,1
1717,0
1728,0
1736,0
1744,0
1750,0
1794,0
1804,0
1805,0
1808,0
1836,0
1866,0
1874,0
1903,0
1911,0
1967,1
