task,truth
14,0
23,1
125,0
151,0
161,0
174,0
197,0
199,0
214,1
225,0
258,0
264,0
275,0
300,0
314,0
328,0
332,0
345,0
358,0
365,0
388,1
418,0
425,0
469,1
474,0
475,0
504,0
511,0
540,0
543,0
547,1
576,0
621,0
654,1
663,0
670,0
672,0
742,0
761,0
770,1
792,0
814,1
818,0
830,0
851,0
922,0
953,0
961,0
972,0
1012,0
1032,1
1058,0
1069,0
1097,0
1108,0
1115,1
1166,0
1167,0
1246,1
1289,1
1315,0
1316,0
1353,1
1360,0
1380,0
1439,0
1445,0
1451,0
1463,1
1465,0
1493,0
1534,0
1542,0
1544,1
1571,0
1586,0
1600,0
1612,0
1619,0
1622,1
1625,0
1637,0
1638,0
1653,0
1684,0
1687,0
1688,0
1692,0
1693,0
1704,0
1769,0
1807,0
1849,0
1861,1
1938,0
1965,0
1988,0
1991,0
1993,0
1997,0
