task,truth
1,1
2,0
11,0
26,0
30,0
59,1
61,0
64,0
84,0
86,0
91,0
99,0
110,0
123,1
127,0
180,0
182,0
213,0
238,0
245,0
254,0
286,1
319,0
330,0
393,0
527,0
618,0
637,0
644,0
709,0
759,0
779,0
789,0
804,0
850,0
870,0
877,0
895,0
899,0
908,0
910,0
918,0
926,0
931,0
934,0
957,0
968,0
969,0
991,0
996,0
1003,0
1025,0
1039,0
1055,0
1068,0
1073,0
1103,1
1110,0
1132,0
1155,1
1177,0
1178,0
1195,0
1236,0
1252,0
1283,0
1286,1
1294,1
1309,0
1340,1
1355,0
1358,0
1362,0
1363,0
1369,0
1411,0
1423,0
1434,0
1448,0
1462,0
1501,0
1505,0
1507,0
1512,0
1519,0
1593,0
1623,0
1655,1
1671,0
1699,0
1719,1
1749,0
1756,0
1818,0
1830,0
1832,0
1837,1
1868,1
1875,1
1970,1
