task,truth
5,1
15,0
16,0
24,0
55,0
136,0
146,0
179,1
195,0
217,0
234,0
267,0
270,0
271,0
280,0
301,0
352,0
362,0
372,0
373,0
431,0
433,0
451,1
452,0
463,0
467,0
471,0
484,0
489,0
499,0
522,0
523,0
528,0
533,0
534,0
544,0
561,0
589,1
590,0
599,1
634,0
676,0
695,0
698,0
717,0
764,0
771,0
775,1
778,0
831,0
855,0
900,0
902,0
920,0
1011,0
1028,0
1043,0
1053,0
1061,1
1070,0
1157,0
1174,0
1199,0
1219,0
1247,0
1284,0
1305,0
1310,0
1373,0
1382,0
1386,0
1440,0
1449,0
1464,0
1485,0
1520,0
1568,0
1594,0
1599,0
1606,0
1607,0
1646,0
1668,0
1711,0
1726,1
1727,0
1772,0
1793,0
1806,0
1819,0
1850,0
1864,0
1899,0
1904,0
1907,0
1930,0
1949,0
1950,0
1955,0
1974,0
