task,truth
24,0
43,0
57,1
58,0
86,0
93,0
106,1
109,0
169,0
234,0
271,0
279,0
316,1
320,0
330,0
351,0
378,0
384,0
391,0
405,1
411,0
419,0
424,0
433,0
437,0
465,0
469,1
527,0
533,0
539,0
554,0
562,0
588,0
610,0
633,0
634,0
673,0
687,1
693,0
696,0
714,0
727,0
730,0
738,0
756,0
781,0
817,1
826,0
857,0
865,0
879,0
882,0
896,1
900,0
908,0
921,0
925,0
932,0
950,0
962,0
975,0
992,1
1019,0
1091,1
1143,1
1148,0
1179,0
1215,0
1233,0
1241,0
1247,0
1261,1
1320,0
1362,0
1386,0
1421,0
1428,0
1465,0
1479,0
1560,0
1571,0
1589,0
1619,0
1625,0
1649,0
1659,0
1667,0
1679,0
1682,0
1687,0
1712,0
1732,0
1766,0
1772,0
1829,0
1859,0
1972,0
1974,0
1977,1
1987,0
