task,truth
4,0
11,0
22,0
40,0
56,0
76,1
102,0
129,0
205,0
215,0
236,0
259,0
276,1
278,0
284,0
303,0
340,0
343,0
353,0
367,0
375,0
390,0
391,0
400,0
420,0
421,0
486,0
487,0
492,0
505,0
524,0
555,0
621,0
654,1
675,0
696,0
700,0
745,0
747,0
776,0
838,0
840,0
877,0
890,0
893,0
927,0
956,0
958,0
975,0
980,0
989,0
1006,0
1012,0
1072,0
1101,0
1102,0
1107,0
1130,0
1141,0
1146,0
1185,0
1211,0
1216,1
1217,0
1243,0
1246,1
1271,1
1306,1
1320,0
1337,1
1344,0
1358,0
1421,0
1422,0
1427,0
1437,0
1462,0
1480,0
1524,0
1576,0
1587,0
1623,0
1707,0
1720,0
1735,0
1746,0
1748,0
1751,1
1760,1
1787,0
1845,0
1856,0
1866,0
1892,0
1907,0
1908,0
1931,0
1983,0
1986,0
1990,0
