task,truth
9,0
15,0
17,0
18,0
29,0
31,0
96,0
146,0
164,0
188,1
189,0
209,0
254,0
296,0
312,0
326,0
327,0
348,0
355,0
360,0
371,0
405,1
459,1
461,0
466,0
468,0
472,0
494,0
531,0
550,0
601,0
638,0
642,0
665,0
689,0
743,0
744,1
764,0
774,0
813,0
819,0
826,0
861,0
904,0
924,0
968,0
982,0
993,0
1003,0
1045,0
1078,0
1086,0
1106,1
1111,0
1129,0
1142,0
1164,0
1208,0
1221,1
1238,0
1251,0
1257,1
1347,0
1349,0
1362,0
1380,0
1382,0
1408,0
1412,1
1434,0
1453,0
1466,0
1484,0
1501,0
1507,0
1540,0
1546,1
1548,0
1552,0
1611,0
1616,0
1626,0
1634,1
1645,0
1661,0
1666,0
1688,0
1772,0
1778,0
1818,0
1841,0
1859,0
1883,0
1895,0
1896,1
1949,0
1950,0
1969,0
1971,0
1994,1
