task,truth
1,1
58,0
73,0
78,1
88,0
140,0
161,0
191,0
199,0
205,0
277,0
286,1
322,0
329,0
387,1
410,0
424,0
463,0
476,0
492,0
508,0
510,0
513,0
522,0
523,0
527,0
564,0
575,0
605,0
635,0
651,0
657,0
674,0
731,1
758,0
794,0
802,0
803,0
813,0
858,0
865,0
879,0
893,0
905,0
906,0
915,0
932,0
941,0
943,0
966,1
976,0
1000,0
1006,0
1025,0
1058,0
1067,0
1079,1
1089,0
1094,0
1163,0
1171,0
1232,0
1239,0
1240,0
1255,0
1261,1
1266,1
1344,0
1385,0
1387,0
1388,0
1394,1
1411,0
1427,0
1444,1
1450,0
1460,0
1466,0
1538,0
1580,0
1585,0
1589,0
1591,0
1625,0
1650,0
1655,1
1708,0
1765,0
1798,0
1819,0
1827,0
1840,0
1850,0
1858,0
1874,0
1878,0
1909,0
1934,0
1957,0
1958,0
