worker,task,answer
2.0,2,1
2.0,3,1
2.0,4,1
2.0,5,1
2.0,10,1
2.0,13,1
2.0,16,0
2.0,21,1
2.0,23,0
2.0,24,1
2.0,25,0
2.0,35,0
2.0,37,0
2.0,40,1
2.0,43,1
2.0,45,0
2.0,46,1
2.0,49,1
7.0,1,0
7.0,2,1
7.0,4,1
7.0,5,0
7.0,9,0
7.0,10,0
7.0,12,1
7.0,14,1
7.0,17,1
7.0,19,1
7.0,22,1
7.0,24,0
7.0,25,1
7.0,32,0
7.0,36,0
7.0,40,1
7.0,41,1
7.0,46,1
7.0,48,1
9.0,3,0
9.0,11,1
9.0,15,1
9.0,17,1
9.0,18,1
9.0,24,1
9.0,29,0
9.0,30,1
9.0,37,0
9.0,38,0
9.0,39,0
9.0,41,1
9.0,42,1
9.0,45,0
10.0,1,1
10.0,2,0
10.0,4,0
10.0,10,0
10.0,11,1
10.0,18,1
10.0,19,1
10.0,20,0
10.0,22,1
10.0,24,1
10.0,26,0
10.0,27,1
10.0,28,1
10.0,30,0
10.0,32,0
10.0,33,0
10.0,34,1
10.0,38,0
10.0,42,0
12.0,14,1
12.0,18,1
12.0,20,1
12.0,21,1
12.0,22,1
12.0,24,1
12.0,29,1
12.0,34,1
12.0,35,0
12.0,36,1
12.0,40,1
12.0,42,0
12.0,49,0
20.0,1,1
20.0,2,1
20.0,4,0
20.0,13,1
20.0,14,1
20.0,16,1
20.0,19,0
20.0,23,0
20.0,25,1
20.0,30,1
20.0,31,1
20.0,32,1
20.0,34,0
20.0,35,0
20.0,39,0
20.0,42,0
20.0,43,0
20.0,45,0
22.0,2,1
22.0,12,1
22.0,13,0
22.0,18,1
22.0,20,0
22.0,30,0
22.0,31,0
22.0,36,0
22.0,41,1
22.0,44,0
22.0,45,0
22.0,46,0
23.0,1,0
23.0,4,0
23.0,18,1
23.0,25,1
23.0,26,0
23.0,28,0
23.0,31,0
23.0,35,1
23.0,39,0
23.0,40,0
23.0,42,0
23.0,48,1
32.0,1,0
32.0,2,0
32.0,9,1
32.0,12,1
32.0,13,0
32.0,14,0
32.0,15,1
32.0,19,1
32.0,23,1
32.0,25,0
32.0,27,0
32.0,28,1
32.0,31,1
32.0,35,0
32.0,36,1
33.0,4,0
33.0,6,0
33.0,7,0
33.0,9,1
33.0,11,1
33.0,12,0
33.0,13,0
33.0,20,0
33.0,21,1
33.0,25,1
33.0,29,0
33.0,33,0
33.0,34,1
33.0,41,1
33.0,45,0
33.0,48,0
34.0,7,1
34.0,8,0
34.0,12,1
34.0,14,1
34.0,15,0
34.0,20,0
34.0,21,1
34.0,31,1
34.0,38,0
34.0,44,0
34.0,46,0
34.0,47,0
35.0,2,1
35.0,4,1
35.0,7,1
35.0,8,1
35.0,10,1
35.0,14,1
35.0,15,1
35.0,16,0
35.0,17,1
35.0,21,1
35.0,22,1
35.0,24,0
35.0,28,0
35.0,39,0
35.0,43,0
35.0,45,1
38.0,1,0
38.0,3,0
38.0,9,1
38.0,10,1
38.0,12,0
38.0,16,0
38.0,19,0
38.0,28,1
38.0,34,0
38.0,35,0
38.0,42,0
38.0,43,0
38.0,45,0
38.0,46,0
44.0,4,0
44.0,5,1
44.0,6,1
44.0,11,1
44.0,18,1
44.0,19,0
44.0,25,1
44.0,27,1
44.0,33,0
44.0,34,1
44.0,35,1
44.0,37,0
44.0,38,0
44.0,41,1
44.0,42,0
44.0,45,0
45.0,4,1
45.0,6,1
45.0,13,0
45.0,18,0
45.0,20,1
45.0,22,0
45.0,38,0
45.0,42,0
45.0,43,0
45.0,44,0
45.0,47,0
45.0,48,1
45.0,49,0
54.0,5,0
54.0,10,1
54.0,11,1
54.0,12,0
54.0,14,1
54.0,20,0
54.0,22,1
54.0,28,1
54.0,30,0
54.0,31,1
54.0,33,0
54.0,34,1
54.0,37,0
54.0,38,0
54.0,39,0
54.0,41,1
54.0,42,1
54.0,43,1
54.0,45,0
54.0,49,1
55.0,3,0
55.0,4,1
55.0,6,0
55.0,11,0
55.0,13,1
55.0,31,0
55.0,32,1
55.0,33,1
55.0,35,1
55.0,38,0
55.0,39,0
55.0,44,0
55.0,45,0
55.0,46,0
60.0,5,0
60.0,10,1
