task,truth
40,0
58,0
63,0
75,0
84,0
104,0
105,0
111,0
150,0
166,0
178,0
225,0
229,0
259,0
261,0
314,0
327,0
329,0
353,0
370,0
422,0
441,1
459,1
475,0
480,0
482,1
511,0
515,0
556,0
576,0
627,0
654,1
682,0
689,0
710,0
713,1
714,0
737,0
759,0
771,0
779,0
823,0
835,0
838,0
856,1
888,0
926,0
933,0
942,0
950,0
1041,0
1067,0
1082,0
1101,0
1156,0
1189,0
1199,0
1219,0
1250,0
1252,0
1284,0
1286,1
1292,0
1308,0
1314,0
1342,0
1351,0
1378,0
1379,0
1396,1
1413,0
1417,0
1440,0
1457,0
1480,0
1483,0
1484,0
1496,1
1500,0
1523,0
1619,0
1623,0
1629,0
1631,1
1655,1
1684,0
1706,0
1730,0
1790,0
1800,0
1802,0
1824,0
1841,0
1844,0
1864,0
1872,0
1876,0
1905,1
1976,1
1987,0
