task,truth
33,0
66,0
95,0
113,0
120,0
123,1
139,0
142,0
143,0
157,0
165,0
212,0
218,0
281,0
305,0
310,1
366,0
373,0
395,0
398,0
440,0
473,0
476,0
494,0
496,0
509,0
510,0
512,0
513,0
528,0
530,0
538,0
541,0
566,0
587,0
588,0
597,0
610,0
631,0
666,0
669,0
695,0
696,0
720,0
761,0
776,0
811,0
812,0
839,0
891,0
917,0
938,0
949,0
969,0
972,0
990,0
1014,0
1016,1
1071,0
1072,0
1078,0
1142,0
1185,0
1212,0
1244,0
1254,0
1261,1
1300,1
1315,0
1321,0
1328,0
1341,1
1350,0
1361,0
1367,0
1386,0
1407,0
1467,0
1476,0
1493,0
1527,0
1536,0
1539,0
1542,0
1572,0
1588,0
1757,0
1774,0
1785,0
1801,0
1816,0
1828,0
1838,0
1883,0
1891,0
1910,0
1913,0
1924,1
1939,0
1971,0
