task,truth
63,0
64,0
124,0
173,0
195,0
209,0
219,0
252,1
255,1
292,0
327,0
330,0
358,0
364,0
375,0
392,0
394,0
397,0
412,0
433,0
442,0
452,0
473,0
483,0
530,0
556,0
586,1
588,0
613,0
614,0
695,0
729,0
745,0
752,0
797,0
871,0
884,0
886,0
946,0
954,0
963,0
965,0
971,0
977,0
1005,0
1012,0
1027,0
1032,1
1038,1
1055,0
1078,0
1124,0
1128,0
1140,0
1168,0
1237,0
1245,0
1313,0
1353,1
1370,0
1377,0
1395,0
1418,0
1419,0
1439,0
1442,0
1463,1
1485,0
1493,0
1504,0
1519,0
1528,0
1575,0
1583,0
1585,0
1589,0
1598,0
1607,0
1608,0
1628,0
1636,0
1637,0
1669,0
1677,0
1684,0
1688,0
1719,1
1749,0
1765,0
1768,0
1798,0
1805,0
1819,0
1843,0
1876,0
1901,0
1936,0
1950,0
1984,0
1993,0
