task,truth
29,0
40,0
41,0
62,0
108,0
134,1
135,1
162,0
197,0
207,1
238,0
250,0
262,0
268,0
269,0
293,0
322,0
339,0
348,0
374,0
379,0
382,0
391,0
392,0
443,0
460,0
477,0
490,0
504,0
510,0
521,0
553,0
575,0
579,0
581,0
582,0
587,0
612,0
618,0
625,0
652,0
744,1
777,0
814,1
848,0
880,0
902,0
931,0
937,0
943,0
948,0
983,0
1040,1
1063,1
1069,0
1071,0
1101,0
1107,0
1139,0
1179,0
1198,0
1209,1
1226,0
1239,0
1240,0
1255,0
1261,1
1266,1
1273,0
1385,0
1401,0
1417,0
1422,0
1430,0
1443,0
1473,0
1492,0
1513,0
1514,0
1549,0
1552,0
1567,0
1584,0
1665,0
1668,0
1673,0
1689,0
1709,0
1716,1
1746,0
1762,0
1768,0
1877,1
1879,1
1892,0
1905,1
1960,1
1967,1
1976,1
1988,0
