task,truth
6,0
8,0
22,0
27,0
35,0
61,0
94,0
100,1
150,0
153,0
158,0
161,0
204,0
212,0
221,0
253,0
301,0
319,0
328,0
330,0
332,0
368,1
369,0
407,0
410,0
416,0
447,0
471,0
477,0
484,0
490,0
518,0
539,0
546,0
683,0
714,0
725,0
733,0
788,0
805,0
810,0
815,1
865,0
936,0
982,0
1030,1
1041,0
1090,1
1172,0
1199,0
1249,0
1280,0
1339,0
1359,0
1370,0
1403,0
1407,0
1410,0
1425,0
1437,0
1460,0
1497,0
1513,0
1522,0
1523,0
1530,0
1567,0
1574,0
1581,0
1599,0
1603,0
1608,0
1684,0
1686,0
1713,1
1721,0
1731,0
1737,0
1744,0
1745,0
1749,0
1756,0
1764,0
1779,0
1789,1
1805,0
1808,0
1816,0
1818,0
1830,0
1851,0
1860,0
1883,0
1890,0
1916,0
1923,0
1950,0
1957,0
1973,0
1981,0
