worker,task,answer
2.0,0,1
2.0,5,0
2.0,13,0
2.0,14,0
2.0,17,0
2.0,24,0
2.0,27,0
2.0,28,0
2.0,30,0
2.0,35,1
2.0,38,1
2.0,46,1
19.0,8,1
19.0,18,0
19.0,23,0
19.0,29,0
19.0,31,1
19.0,33,1
19.0,34,0
19.0,35,1
19.0,36,0
19.0,37,0
19.0,38,0
19.0,40,0
19.0,42,0
19.0,45,1
22.0,1,0
22.0,4,1
22.0,6,1
22.0,10,0
22.0,12,0
22.0,17,1
22.0,18,1
22.0,25,1
22.0,26,1
22.0,32,1
22.0,37,0
22.0,46,0
27.0,0,1
27.0,5,1
27.0,13,1
27.0,17,1
27.0,29,1
27.0,40,0
27.0,41,0
27.0,47,1
27.0,48,1
30.0,3,0
30.0,7,0
30.0,12,1
30.0,14,1
30.0,44,0
35.0,8,0
35.0,9,1
35.0,16,1
35.0,28,0
35.0,34,0
35.0,37,1
35.0,45,1
35.0,47,1
35.0,48,0
35.0,49,1
36.0,3,0
36.0,4,1
36.0,12,0
36.0,15,1
36.0,16,1
36.0,26,1
36.0,29,1
36.0,40,0
36.0,42,1
36.0,45,0
36.0,49,1
39.0,6,0
39.0,11,1
39.0,21,1
39.0,28,1
39.0,34,1
39.0,38,0
39.0,42,0
39.0,46,1
39.0,49,1
40.0,0,1
40.0,1,1
40.0,17,0
40.0,27,0
40.0,32,0
40.0,33,0
40.0,36,1
40.0,37,1
40.0,41,1
40.0,43,1
40.0,45,1
46.0,4,0
46.0,6,0
46.0,9,0
46.0,13,1
46.0,17,0
46.0,24,0
46.0,26,1
46.0,28,1
46.0,31,0
46.0,34,0
46.0,38,1
46.0,39,1
46.0,44,0
46.0,47,1
51.0,1,1
51.0,4,1
51.0,6,0
51.0,7,1
51.0,8,1
51.0,15,0
51.0,22,1
51.0,24,1
51.0,30,1
51.0,34,0
51.0,36,0
51.0,41,0
51.0,42,1
51.0,43,0
52.0,4,1
52.0,7,1
52.0,10,0
52.0,19,1
52.0,23,0
52.0,25,1
52.0,31,1
52.0,35,1
53.0,4,1
53.0,5,0
53.0,6,1
53.0,8,1
53.0,15,0
53.0,22,0
53.0,26,0
53.0,29,1
53.0,31,1
53.0,37,1
53.0,48,1
57.0,1,0
57.0,2,0
57.0,3,1
57.0,12,1
57.0,20,1
57.0,28,0
57.0,31,0
57.0,34,0
57.0,36,0
57.0,37,1
57.0,44,1
61.0,2,1
61.0,11,1
61.0,14,1
61.0,28,0
61.0,30,0
61.0,32,1
61.0,48,0
64.0,2,0
64.0,3,1
64.0,13,1
64.0,29,1
64.0,31,1
64.0,32,1
64.0,36,0
64.0,38,1
64.0,41,1
64.0,45,0
66.0,0,1
66.0,2,1
66.0,6,0
66.0,7,1
66.0,18,1
66.0,20,1
66.0,24,1
66.0,27,0
66.0,38,0
66.0,43,0
67.0,9,0
67.0,14,0
67.0,15,0
67.0,16,0
67.0,18,1
67.0,22,1
67.0,29,1
67.0,30,0
67.0,33,1
67.0,46,1
68.0,0,0
68.0,11,0
68.0,12,1
68.0,19,1
68.0,24,1
68.0,37,1
68.0,41,0
68.0,46,0
73.0,5,0
73.0,6,0
73.0,7,1
73.0,8,1
73.0,14,0
73.0,18,0
73.0,19,1
73.0,22,1
73.0,26,1
73.0,29,0
73.0,40,0
73.0,46,1
73.0,47,1
86.0,11,1
86.0,12,1
86.0,17,1
86.0,23,0
86.0,24,0
86.0,32,1
86.0,33,1
86.0,35,1
86.0,36,0
86.0,41,1
86.0,45,0
87.0,0,1
87.0,4,1
87.0,8,1
87.0,12,0
87.0,20,0
87.0,26,0
87.0,27,0
87.0,31,1
87.0,33,0
87.0,47,0
89.0,2,0
89.0,13,0
89.0,14,0
89.0,15,0
89.0,22,1
89.0,34,1
89.0,36,1
89.0,40,0
89.0,42,0
98.0,12,1
98.0,13,0
98.0,19,1
98.0,22,0
98.0,27,1
98.0,28,1
98.0,32,0
98.0,48,1
105.0,4,1
105.0,6,0
105.0,12,0
105.0,16,0
105.0,17,1
105.0,36,0
105.0,37,1
105.0,38,1
105.0,41,1
105.0,45,0
111.0,8,1
111.0,31,0
111.0,33,1
111.0,34,1
111.0,37,1
111.0,38,1
111.0,41,0
111.0,44,0
116.0,8,0
116.0,13,0
116.0,16,0
116.0,34,1
116.0,39,0
116.0,45,0
122.0,1,1
122.0,2,0
122.0,6,1
122.0,8,0
122.0,10,1
122.0,11,0
122.0,12,0
122.0,14,0
122.0,21,1
122.0,36,1
122.0,40,0
122.0,41,0
122.0,47,1
139.0,2,0
139.0,3,1
139.0,6,1
139.0,15,0
139.0,23,1
139.0,28,1
139.0,37,1
139.0,41,0
141.0,4,0
141.0,10,0
141.0,12,0
141.0,14,0
141.0,15,1
141.0,21,0
141.0,30,0
141.0,47,1
141.0,48,1
156.0,0,0
156.0,6,1
156.0,7,1
156.0,11,1
156.0,22,1
156.0,26,1
156.0,30,1
156.0,33,0
156.0,34,1
156.0,46,0
162.0,2,1
162.0,5,0
162.0,25,0
162.0,28,0
162.0,34,1
162.0,38,1
162.0,40,0
162.0,42,0
164.0,5,1
164.0,8,1
164.0,10,0
164.0,19,1
164.0,30,0
164.0,34,1
164.0,37,1
164.0,43,0
164.0,45,0
168.0,9,0
168.0,11,0
168.0,14,0
168.0,18,1
168.0,19,0
168.0,21,1
168.0,30,1
168.0,33,0
168.0,40,0
169.0,1,0
169.0,4,1
169.0,13,0
169.0,20,1
169.0,31,0
169.0,33,0
169.0,36,0
169.0,40,0
169.0,43,0
169.0,44,0
169.0,47,1
169.0,49,1
170.0,0,1
170.0,6,1
170.0,13,0
170.0,17,1
170.0,26,0
170.0,28,0
170.0,33,0
170.0,38,1
170.0,40,1
175.0,8,0
175.0,16,1
175.0,17,0
175.0,19,1
175.0,22,0
175.0,25,0
175.0,37,0
175.0,38,1
175.0,39,0
175.0,47,1
176.0,10,0
176.0,14,1
176.0,19,1
176.0,31,1
176.0,32,1
176.0,33,0
176.0,39,1
176.0,41,0
176.0,42,1
177.0,9,0
177.0,11,1
177.0,14,0
177.0,20,0
177.0,22,0
177.0,23,0
177.0,24,1
177.0,36,0
177.0,44,0
183.0,3,1
183.0,14,0
183.0,16,1
183.0,18,1
183.0,29,1
183.0,30,1
183.0,35,1
183.0,38,0
183.0,45,0
183.0,47,1
184.0,4,0
184.0,5,1
184.0,10,0
184.0,16,1
184.0,17,1
184.0,23,1
184.0,26,0
184.0,28,1
184.0,29,1
184.0,32,1
184.0,35,1
184.0,38,1
184.0,39,1
184.0,43,0
184.0,45,1
184.0,46,1
184.0,47,0
187.0,0,0
187.0,1,1
187.0,5,1
187.0,9,0
187.0,10,0
187.0,14,0
187.0,15,1
187.0,19,1
187.0,21,1
187.0,23,1
187.0,25,1
187.0,31,0
187.0,34,0
187.0,37,1
187.0,41,0
187.0,43,0
187.0,45,1
187.0,47,0
188.0,0,0
188.0,3,0
188.0,8,0
188.0,11,0
188.0,14,0
188.0,15,0
188.0,22,0
188.0,23,0
188.0,25,0
188.0,28,1
188.0,38,1
188.0,43,1
188.0,49,1
189.0,1,0
189.0,3,1
189.0,4,1
189.0,7,0
189.0,12,0
189.0,15,0
189.0,19,1
189.0,23,1
189.0,27,1
189.0,28,0
189.0,35,1
189.0,43,0
190.0,6,1
190.0,8,1
190.0,9,1
190.0,10,1
190.0,19,1
190.0,20,1
190.0,21,1
190.0,22,1
190.0,29,0
190.0,32,1
190.0,34,0
190.0,37,1
190.0,46,0
190.0,49,1
194.0,6,1
194.0,15,1
194.0,16,0
194.0,18,1
194.0,22,0
194.0,27,0
194.0,47,1
195.0,2,0
195.0,7,1
195.0,14,0
195.0,19,0
195.0,22,1
195.0,26,1
195.0,29,1
195.0,36,0
195.0,42,0
195.0,44,0
195.0,49,1
197.0,0,1
197.0,14,1
197.0,17,0
197.0,24,0
197.0,30,1
197.0,39,0
197.0,46,1
197.0,47,0
198.0,2,1
198.0,3,0
198.0,6,0
198.0,9,0
198.0,11,0
198.0,18,1
198.0,19,0
198.0,23,0
198.0,26,0
198.0,37,0
198.0,42,0
198.0,43,1
