worker,task,answer
2.0,2,1
2.0,5,0
2.0,7,0
2.0,9,0
2.0,12,1
2.0,21,0
2.0,25,1
2.0,28,1
2.0,32,1
2.0,33,0
2.0,36,1
2.0,40,0
2.0,45,1
2.0,48,1
10.0,4,0
10.0,17,1
10.0,22,0
10.0,38,0
10.0,43,1
10.0,44,1
14.0,9,0
14.0,22,0
14.0,36,0
14.0,43,0
24.0,0,0
24.0,1,1
24.0,15,1
24.0,25,0
24.0,26,0
24.0,34,0
24.0,44,0
24.0,46,1
29.0,1,0
29.0,3,0
29.0,10,0
29.0,11,0
29.0,23,1
29.0,39,1
29.0,41,0
29.0,42,0
29.0,44,0
29.0,46,1
33.0,3,1
33.0,4,0
33.0,6,0
33.0,9,0
33.0,28,1
33.0,44,0
33.0,47,0
36.0,0,1
36.0,9,1
36.0,20,1
36.0,24,0
36.0,37,0
36.0,38,0
36.0,46,1
41.0,2,1
41.0,3,1
41.0,5,0
41.0,7,1
41.0,22,1
41.0,23,0
41.0,29,0
41.0,34,0
41.0,38,0
41.0,39,0
41.0,45,0
45.0,3,1
45.0,6,0
45.0,7,1
45.0,13,1
45.0,17,0
45.0,20,0
45.0,26,0
45.0,27,1
45.0,38,0
45.0,40,0
45.0,42,1
45.0,47,0
48.0,2,1
48.0,7,1
48.0,8,0
48.0,11,1
48.0,21,0
48.0,22,0
48.0,25,0
48.0,27,1
48.0,29,0
48.0,36,0
48.0,38,0
48.0,41,1
50.0,10,0
50.0,15,1
50.0,20,1
50.0,23,1
50.0,30,1
50.0,36,1
50.0,45,1
51.0,2,1
51.0,7,0
51.0,10,1
51.0,13,1
51.0,20,0
51.0,24,0
51.0,30,1
51.0,35,1
56.0,0,1
56.0,7,1
56.0,10,0
56.0,12,1
56.0,23,0
56.0,24,1
56.0,34,0
56.0,38,1
56.0,40,0
56.0,45,0
56.0,46,0
57.0,1,0
57.0,2,1
57.0,6,1
57.0,7,1
57.0,29,0
57.0,34,0
57.0,38,0
57.0,41,1
57.0,43,0
57.0,48,0
57.0,49,1
63.0,8,1
63.0,10,0
63.0,11,1
63.0,19,1
63.0,23,1
63.0,27,1
63.0,31,0
63.0,38,1
64.0,1,1
64.0,11,1
64.0,26,0
64.0,27,1
64.0,28,0
64.0,29,0
64.0,39,1
64.0,40,1
64.0,44,1
64.0,46,1
64.0,48,0
64.0,49,0
75.0,18,1
75.0,19,0
75.0,36,1
75.0,39,1
75.0,41,1
75.0,42,1
79.0,9,0
79.0,14,0
79.0,16,0
79.0,20,1
79.0,24,0
79.0,35,0
79.0,38,1
79.0,39,0
79.0,42,0
80.0,5,1
80.0,22,1
80.0,25,0
80.0,27,1
80.0,32,1
80.0,34,1
80.0,37,0
80.0,43,1
80.0,45,0
80.0,49,1
90.0,11,1
90.0,18,0
90.0,19,1
90.0,21,1
90.0,28,1
90.0,30,1
90.0,37,0
90.0,39,1
90.0,42,1
90.0,43,0
90.0,45,1
92.0,18,1
92.0,21,0
92.0,24,0
92.0,25,0
92.0,39,1
92.0,40,1
92.0,41,0
92.0,44,0
98.0,3,1
98.0,10,1
98.0,21,1
98.0,25,0
98.0,36,1
98.0,43,1
98.0,44,1
98.0,45,1
98.0,49,1
101.0,7,0
101.0,10,0
101.0,15,1
101.0,16,0
101.0,18,1
101.0,22,1
101.0,23,1
101.0,26,0
101.0,27,0
101.0,38,0
101.0,42,1
101.0,45,0
101.0,46,0
101.0,49,0
109.0,2,0
109.0,6,0
109.0,14,0
109.0,18,0
109.0,19,0
109.0,24,1
109.0,27,0
109.0,40,0
109.0,46,0
109.0,49,0
117.0,10,1
117.0,28,1
117.0,31,0
117.0,32,0
117.0,41,0
117.0,45,0
117.0,48,1
117.0,49,0
121.0,1,1
121.0,2,0
121.0,7,0
121.0,15,1
121.0,16,1
121.0,24,0
121.0,29,0
121.0,39,0
121.0,41,1
122.0,4,0
122.0,5,0
122.0,10,0
122.0,12,0
122.0,13,0
122.0,17,0
122.0,25,1
122.0,36,1
122.0,40,1
122.0,41,0
122.0,47,0
122.0,49,0
127.0,15,1
127.0,19,0
127.0,20,1
127.0,22,1
127.0,26,1
127.0,29,0
127.0,34,1
127.0,36,1
127.0,37,1
127.0,40,1
127.0,42,1
127.0,44,1
128.0,16,1
128.0,21,1
128.0,23,1
128.0,27,0
128.0,28,1
128.0,33,1
128.0,44,0
132.0,8,1
132.0,21,1
132.0,25,0
132.0,27,0
132.0,32,1
132.0,34,0
132.0,41,0
132.0,46,0
134.0,14,1
134.0,17,0
134.0,22,0
134.0,23,1
134.0,37,0
134.0,38,0
134.0,47,1
134.0,49,1
135.0,0,0
135.0,4,0
135.0,5,0
135.0,11,0
135.0,16,0
135.0,41,1
143.0,0,1
143.0,2,0
143.0,5,0
143.0,8,0
143.0,12,1
143.0,16,1
143.0,18,1
143.0,28,0
143.0,29,1
143.0,46,1
144.0,3,1
144.0,11,1
144.0,17,0
144.0,18,0
144.0,21,0
144.0,28,1
144.0,38,0
144.0,46,0
144.0,47,0
144.0,49,0
145.0,6,0
145.0,8,1
145.0,11,0
145.0,34,0
145.0,36,1
145.0,39,1
145.0,40,0
145.0,46,0
149.0,2,1
149.0,4,0
149.0,5,0
149.0,6,0
149.0,12,0
149.0,17,0
149.0,21,0
149.0,25,0
149.0,27,0
149.0,32,0
149.0,37,1
149.0,46,1
156.0,13,0
156.0,20,1
156.0,25,1
156.0,38,0
156.0,40,1
156.0,42,1
156.0,44,0
156.0,49,0
160.0,0,1
160.0,2,1
160.0,6,0
160.0,8,0
160.0,17,1
160.0,24,0
160.0,25,0
160.0,33,0
160.0,35,1
160.0,37,1
160.0,41,0
165.0,2,0
165.0,6,0
165.0,9,0
165.0,10,0
165.0,12,1
165.0,23,0
165.0,27,1
165.0,29,0
165.0,30,0
165.0,40,0
165.0,45,1
171.0,1,1
171.0,2,1
171.0,3,0
171.0,5,0
171.0,16,0
171.0,22,1
171.0,23,0
171.0,24,0
171.0,25,0
171.0,29,1
171.0,36,1
171.0,39,1
171.0,40,0
171.0,41,0
171.0,42,0
171.0,45,1
174.0,2,0
174.0,4,1
174.0,9,1
174.0,25,1
174.0,33,0
174.0,46,1
177.0,13,1
177.0,14,0
177.0,19,1
177.0,21,0
177.0,22,0
177.0,24,0
177.0,28,0
177.0,47,1
177.0,48,1
177.0,49,0
179.0,0,0
179.0,5,1
179.0,9,0
179.0,10,1
179.0,14,1
179.0,15,1
179.0,21,0
179.0,25,0
179.0,26,0
179.0,29,1
179.0,36,0
179.0,39,1
179.0,42,0
179.0,44,0
180.0,12,1
180.0,24,0
180.0,30,1
180.0,31,1
180.0,34,0
180.0,39,0
180.0,40,0
