task,truth
4,0
10,0
16,0
41,0
66,0
99,0
154,0
160,0
176,0
204,0
218,0
246,0
250,0
267,0
306,1
352,0
416,0
419,0
446,0
456,0
492,0
526,1
529,0
533,0
540,0
548,0
549,0
552,0
561,0
567,0
576,0
598,0
602,0
612,0
627,0
650,0
652,0
653,0
701,0
710,0
718,0
724,0
735,0
776,0
782,0
783,0
793,0
796,0
798,0
818,0
841,0
873,0
905,0
906,0
910,0
953,0
969,0
984,0
1037,0
1061,1
1083,0
1114,0
1124,0
1139,0
1149,0
1171,0
1192,0
1199,0
1208,0
1209,1
1210,0
1237,0
1246,1
1259,0
1290,0
1304,0
1322,0
1344,0
1345,0
1402,0
1405,0
1409,0
1422,0
1433,0
1454,0
1483,0
1530,0
1534,0
1544,1
1583,0
1590,0
1616,0
1634,1
1656,0
1665,0
1681,0
1748,0
1762,0
1896,1
1948,0
