task,truth
1,1
14,0
41,0
55,0
84,0
85,0
142,0
156,0
164,0
184,0
268,0
296,0
302,1
322,0
330,0
373,0
399,0
410,0
459,1
460,0
529,0
554,0
584,0
632,0
643,0
646,0
668,0
733,0
783,0
797,0
834,0
837,0
868,0
914,0
926,0
970,0
1023,0
1041,0
1068,0
1095,0
1111,0
1214,0
1245,0
1273,0
1276,0
1310,0
1340,1
1347,0
1379,0
1380,0
1393,0
1397,0
1409,0
1410,0
1432,0
1452,1
1495,0
1543,0
1554,0
1561,0
1577,0
1583,0
1585,0
1607,0
1666,0
1743,0
1777,1
1934,0
1976,1
2070,0
2092,0
2113,0
2122,0
2134,0
2164,0
2196,0
2197,0
2292,0
2342,0
2368,0
2380,0
2413,0
2423,0
2500,0
2505,0
2547,0
2587,0
2600,0
2609,0
2672,0
2698,0
2743,1
2752,0
2756,0
2760,0
2773,0
2873,0
2876,1
2893,1
2966,1
3039,1
3098,0
3159,0
3193,0
3249,0
3252,1
3288,0
3298,1
3313,0
3343,0
3356,0
3369,0
3377,0
3392,0
3399,0
3488,0
3498,0
3502,0
3528,0
3566,0
3596,0
3614,0
3632,0
3638,0
3662,0
3697,1
3740,0
3755,0
3757,0
3770,0
3800,1
3817,0
3820,0
3829,0
3859,1
3893,0
3905,1
3916,0
3937,0
3975,0
4153,0
4172,0
4182,0
4215,0
4257,0
4273,1
4314,0
4324,0
4394,1
4398,0
