task,truth
54,0
77,0
78,1
95,0
111,0
135,1
160,0
225,0
227,1
230,0
231,0
237,0
313,0
325,0
397,0
417,0
420,0
435,1
490,0
509,0
537,0
552,0
559,1
627,0
638,0
651,0
680,0
726,0
731,1
785,0
815,1
825,0
866,0
871,0
879,0
946,0
958,0
985,1
1076,0
1081,0
1136,0
1151,0
1161,0
1162,0
1180,0
1192,0
1197,0
1216,1
1241,0
1265,1
1280,0
1289,1
1313,0
1402,0
1424,0
1427,0
1448,0
1449,0
1454,0
1549,0
1559,0
1573,0
1581,0
1611,0
1648,0
1661,0
1706,0
1734,0
1753,0
1785,0
1807,0
1859,0
1875,1
1914,0
1955,0
1966,0
1981,0
2032,0
2046,0
2088,0
2130,1
2132,0
2148,0
2153,0
2174,0
2248,0
2278,0
2301,0
2315,0
2336,0
2372,0
2412,0
2485,0
2498,0
2516,0
2535,0
2591,0
2596,0
2653,1
2674,0
2686,0
2735,0
2788,0
2809,0
2822,0
2839,0
2847,0
2859,0
2934,0
2946,0
2952,0
2960,0
2963,0
2975,0
2980,0
2986,0
3007,0
3019,0
3022,0
3035,0
3120,0
3207,0
3310,0
3374,0
3449,0
3476,0
3492,0
3495,0
3509,1
3532,0
3548,0
3558,0
3606,1
3618,0
3620,0
3781,0
3943,1
3992,0
4011,0
4039,0
4072,0
4093,0
4147,0
4178,0
4279,0
4306,0
4338,0
4340,0
4442,0
4460,0
