task,truth
5,1
6,0
12,0
112,0
115,0
125,0
154,0
163,0
198,0
272,0
279,0
281,0
321,1
374,0
413,0
448,0
475,0
496,0
526,1
542,0
547,1
548,0
556,0
557,0
580,0
598,0
646,0
662,0
671,0
733,0
748,1
821,1
834,0
855,0
866,0
868,0
881,0
900,0
905,0
909,1
912,1
1009,0
1021,1
1034,1
1037,0
1050,0
1051,0
1055,0
1069,0
1081,0
1107,0
1112,0
1152,0
1197,0
1200,0
1221,1
1281,0
1284,0
1302,0
1335,0
1342,0
1376,0
1396,1
1403,0
1404,1
1419,0
1464,0
1523,0
1550,0
1562,0
1564,0
1588,0
1589,0
1590,0
1591,0
1620,0
1621,0
1634,1
1643,0
1650,0
1678,1
1690,0
1691,1
1734,0
1758,0
1760,1
1766,0
1777,1
1790,0
1811,1
1816,0
1830,0
1840,0
1859,0
1922,0
1936,0
1938,0
1940,0
1958,0
1997,0
