task,truth
9,0
10,0
26,0
31,0
34,0
42,0
47,0
50,0
62,0
67,0
73,0
87,0
88,0
103,0
136,0
138,0
147,0
154,0
183,0
208,0
294,0
336,0
365,0
391,0
469,1
501,0
523,0
529,0
542,0
631,0
638,0
642,0
658,0
689,0
701,0
709,0
713,1
728,0
763,1
798,0
804,0
810,0
844,0
865,0
884,0
900,0
903,0
923,0
948,0
1002,0
1101,0
1105,0
1113,0
1118,0
1159,0
1175,1
1191,0
1199,0
1276,0
1280,0
1283,0
1310,0
1318,0
1319,1
1334,0
1416,0
1426,1
1442,0
1451,0
1457,0
1477,0
1486,0
1489,1
1491,1
1518,0
1560,0
1577,0
1586,0
1596,1
1599,0
1620,0
1623,0
1632,1
1642,0
1650,0
1653,0
1675,0
1698,0
1707,0
1711,0
1718,0
1745,0
1761,0
1767,0
1768,0
1788,0
1828,0
1835,0
1854,0
1984,0
