task,truth
29,0
60,1
102,0
130,0
142,0
143,0
211,0
213,0
218,0
223,0
245,0
269,0
286,1
312,0
349,1
387,1
389,0
393,0
405,1
428,0
445,0
450,0
456,0
477,0
482,1
497,0
504,0
605,0
616,0
644,0
685,1
712,0
722,0
733,0
740,0
752,0
776,0
778,0
793,0
809,0
821,1
833,0
846,0
892,0
896,1
907,0
914,0
922,0
927,0
938,0
941,0
976,0
978,0
991,0
1014,0
1021,1
1044,0
1054,0
1057,0
1089,0
1099,1
1124,0
1128,0
1145,0
1147,0
1151,0
1154,0
1169,0
1171,0
1206,0
1224,0
1228,0
1268,0
1316,0
1339,0
1412,1
1471,0
1476,0
1481,1
1488,0
1502,0
1514,0
1543,0
1552,0
1633,0
1660,0
1674,0
1679,0
1700,0
1708,0
1755,0
1764,0
1812,0
1819,0
1830,0
1899,0
1921,0
1932,0
1970,1
1987,0
