task,truth
19,0
22,0
44,0
50,0
67,0
73,0
85,0
89,0
102,0
155,0
171,0
176,0
229,0
237,0
274,0
310,1
352,0
392,0
424,0
426,0
461,0
486,0
490,0
511,0
540,0
553,0
609,0
612,0
626,0
642,0
644,0
666,0
691,0
694,0
714,0
721,0
725,0
734,0
742,0
769,0
778,0
818,0
845,0
876,0
920,0
923,0
934,0
947,0
981,0
985,1
987,0
1024,0
1032,1
1054,0
1118,0
1142,0
1147,0
1153,0
1170,1
1177,0
1188,0
1207,0
1219,0
1258,0
1274,0
1288,0
1301,0
1314,0
1324,0
1394,1
1421,0
1422,0
1430,0
1435,0
1446,0
1468,0
1483,0
1500,0
1535,0
1548,0
1551,0
1564,0
1571,0
1587,0
1591,0
1661,0
1668,0
1745,0
1768,0
1787,0
1805,0
1808,0
1832,0
1840,0
1847,0
1855,0
1858,0
1863,0
1922,0
1986,0
