task,truth
37,0
56,0
60,1
109,0
127,0
130,0
136,0
137,0
140,0
231,0
234,0
249,0
256,0
272,0
287,0
378,0
397,0
429,0
442,0
468,0
470,0
473,0
491,0
498,0
523,0
532,0
552,0
557,0
578,0
597,0
641,0
749,1
751,0
759,0
762,1
800,0
801,0
831,0
841,0
844,0
859,0
872,0
903,0
932,0
941,0
951,0
962,0
983,0
984,0
1010,0
1021,1
1037,0
1049,0
1077,0
1093,0
1124,0
1143,1
1149,0
1165,0
1200,0
1224,0
1239,0
1282,1
1326,0
1338,0
1366,0
1369,0
1398,0
1402,0
1455,1
1495,0
1498,0
1516,0
1568,0
1586,0
1589,0
1619,0
1623,0
1630,0
1646,0
1674,0
1681,0
1688,0
1717,0
1758,0
1800,0
1821,0
1825,1
1828,0
1829,0
1866,0
1897,0
1902,0
1903,0
1907,0
1915,0
1946,0
1956,0
1989,0
1990,0
