task,truth
0,0
5,1
58,0
77,0
103,0
110,0
113,0
114,0
137,0
157,0
167,0
173,0
181,0
190,0
192,0
203,0
218,0
248,1
261,0
272,0
277,0
312,0
370,0
388,1
392,0
396,0
412,0
445,0
450,0
488,0
503,1
523,0
529,0
535,0
560,0
596,0
602,0
620,0
621,0
659,0
661,0
687,1
701,0
718,0
731,1
753,0
755,0
782,0
819,0
824,0
827,0
862,0
897,0
932,0
966,1
967,0
969,0
1017,1
1019,0
1066,0
1073,0
1102,0
1104,0
1111,0
1136,0
1181,0
1202,0
1238,0
1252,0
1287,0
1295,0
1314,0
1332,0
1337,1
1349,0
1379,0
1390,0
1412,1
1441,0
1444,1
1470,0
1473,0
1476,0
1486,0
1506,0
1541,0
1544,1
1559,0
1602,1
1646,0
1751,1
1752,0
1832,0
1874,0
1902,0
1909,0
1919,0
1933,0
1967,1
1969,0
