task,truth
31,0
44,0
72,0
95,0
110,0
121,0
151,0
175,0
242,0
244,0
253,0
271,0
272,0
287,0
317,0
322,0
349,1
377,0
464,0
509,0
544,0
549,0
565,0
573,0
609,0
638,0
640,0
646,0
654,1
680,0
738,0
741,0
786,0
830,0
834,0
846,0
848,0
851,0
859,0
876,0
925,0
932,0
948,0
980,0
982,0
996,0
1015,0
1025,0
1026,0
1038,1
1050,0
1087,0
1102,0
1125,0
1140,0
1146,0
1154,0
1167,0
1182,0
1225,0
1228,0
1244,0
1273,0
1299,0
1300,1
1305,0
1333,0
1345,0
1359,0
1371,0
1375,0
1406,0
1466,0
1519,0
1554,0
1574,0
1606,0
1607,0
1622,1
1624,0
1625,0
1628,0
1633,0
1678,1
1692,0
1700,0
1724,0
1760,1
1796,0
1805,0
1808,0
1818,0
1848,0
1851,0
1884,0
1894,0
1943,0
1982,0
1983,0
1994,1
