task,truth
9,0
17,0
28,0
36,0
45,0
47,0
77,0
113,0
180,0
192,0
200,0
212,0
215,0
227,1
228,1
236,0
281,0
310,1
321,1
341,0
352,0
356,0
362,0
364,0
368,1
383,0
430,0
446,0
510,0
521,0
535,0
558,0
584,0
586,1
607,0
624,0
633,0
637,0
642,0
643,0
704,0
708,0
710,0
764,0
819,0
827,0
838,0
875,0
879,0
918,0
919,0
924,0
946,0
977,0
1021,1
1031,0
1054,0
1070,0
1084,0
1090,1
1103,1
1142,0
1155,1
1215,0
1277,0
1293,0
1314,0
1378,0
1393,0
1402,0
1415,0
1420,0
1447,0
1520,0
1540,0
1568,0
1592,0
1594,0
1657,0
1661,0
1662,1
1679,0
1681,0
1701,0
1714,0
1715,1
1750,0
1764,0
1783,0
1791,1
1800,0
1802,0
1813,0
1814,0
1876,0
1888,0
1899,0
1910,0
1918,0
1997,0
