task,truth
33,0
42,0
46,0
65,0
88,0
98,0
113,0
122,0
156,0
189,0
193,0
196,0
247,0
261,0
319,0
321,1
342,0
361,0
384,0
397,0
457,0
463,0
489,0
540,0
577,0
614,0
615,0
622,0
675,0
699,0
706,0
766,0
786,0
788,0
829,0
833,0
904,0
939,0
958,0
959,0
983,0
988,1
994,0
995,0
1002,0
1004,1
1021,1
1023,0
1066,0
1083,0
1088,0
1093,0
1108,0
1155,1
1156,0
1159,0
1162,0
1185,0
1202,0
1209,1
1252,0
1270,0
1300,1
1330,1
1352,0
1384,0
1392,0
1396,1
1411,0
1418,0
1426,1
1429,0
1485,0
1510,0
1526,0
1551,0
1572,0
1573,0
1587,0
1588,0
1609,0
1643,0
1648,0
1664,0
1705,0
1707,0
1739,0
1786,0
1803,1
1804,0
1818,0
1824,0
1831,0
1838,0
1841,0
1872,0
1901,0
1979,0
1991,0
1999,1
