task,truth
6,0
19,0
28,0
74,1
75,0
83,0
84,0
128,0
160,0
165,0
169,0
198,0
271,0
282,0
289,0
323,0
349,1
350,0
367,0
371,0
374,0
379,0
383,0
399,0
407,0
439,0
440,0
469,1
500,0
514,1
515,0
536,0
539,0
547,1
569,1
590,0
606,0
622,0
635,0
707,0
743,0
746,0
769,0
776,0
799,0
833,0
865,0
881,0
892,0
904,0
913,0
948,0
954,0
1009,0
1081,0
1088,0
1093,0
1100,0
1173,1
1192,0
1237,0
1241,0
1249,0
1250,0
1276,0
1290,0
1331,0
1376,0
1384,0
1423,0
1429,0
1446,0
1493,0
1509,0
1538,0
1543,0
1544,1
1574,0
1595,0
1620,0
1640,0
1642,0
1665,0
1677,0
1704,0
1723,0
1784,0
1805,0
1820,1
1822,0
1826,1
1830,0
1859,0
1927,1
1939,0
1942,0
1968,0
1989,0
1991,0
1998,0
