task,truth
31,0
37,0
39,0
50,0
60,1
69,0
71,0
140,0
143,0
162,0
174,0
188,1
199,0
206,0
210,0
212,0
229,0
239,0
243,0
247,0
262,0
280,0
378,0
387,1
394,0
405,1
412,0
414,0
423,0
430,0
475,0
513,0
558,0
573,0
574,0
578,0
605,0
608,0
646,0
670,0
757,0
760,0
787,0
800,0
813,0
821,1
893,0
899,0
921,0
965,0
969,0
979,0
991,0
1008,0
1017,1
1024,0
1036,0
1046,0
1066,0
1070,0
1120,0
1125,0
1139,0
1171,0
1175,1
1235,0
1239,0
1268,0
1313,0
1318,0
1327,0
1341,1
1345,0
1397,0
1425,0
1427,0
1433,0
1434,0
1448,0
1453,0
1457,0
1486,0
1521,0
1531,1
1539,0
1582,0
1678,1
1706,0
1719,1
1742,0
1749,0
1806,0
1808,0
1811,1
1841,0
1847,0
1856,0
1870,0
1958,0
1981,0
