task,truth
23,1
36,0
58,0
76,1
95,0
100,1
113,0
161,0
175,0
209,0
211,0
236,0
237,0
249,0
290,0
320,0
325,0
350,0
366,0
379,0
450,0
462,0
464,0
465,0
488,0
491,0
540,0
542,0
556,0
587,0
591,0
630,0
645,0
646,0
669,0
675,0
693,0
706,0
747,0
786,0
789,0
799,0
826,0
867,1
876,0
901,0
903,0
913,0
931,0
960,0
967,0
982,0
1014,0
1029,1
1033,0
1041,0
1061,1
1063,1
1084,0
1086,0
1118,0
1168,0
1177,0
1183,0
1184,0
1209,1
1236,0
1242,0
1253,1
1308,0
1366,0
1395,0
1443,0
1444,1
1464,0
1564,0
1566,0
1582,0
1592,0
1597,0
1617,0
1624,0
1654,0
1658,0
1711,0
1743,0
1778,0
1794,0
1804,0
1807,0
1837,1
1864,0
1873,0
1875,1
1908,0
1919,0
1965,0
1966,0
1977,1
1990,0
