task,truth
1,1
11,0
15,0
22,0
23,1
102,0
118,0
160,0
162,0
211,0
270,0
318,0
344,0
361,0
396,0
420,0
425,0
441,1
469,1
476,0
487,0
541,0
545,0
552,0
585,0
589,1
595,0
628,0
641,0
643,0
673,0
699,0
721,0
730,0
748,1
781,0
800,0
808,1
826,0
872,0
931,0
936,0
953,0
955,0
956,0
957,0
978,0
981,0
995,0
1015,0
1027,0
1038,1
1040,1
1043,0
1045,0
1047,0
1066,0
1067,0
1094,0
1140,0
1166,0
1180,0
1182,0
1217,0
1227,0
1241,0
1258,0
1266,1
1282,1
1333,0
1349,0
1353,1
1363,0
1399,0
1437,0
1453,0
1468,0
1494,0
1500,0
1543,0
1551,0
1607,0
1610,0
1677,0
1701,0
1708,0
1733,0
1747,0
1772,0
1779,0
1815,0
1819,0
1865,0
1897,0
1904,0
1911,0
1956,0
1967,1
1968,0
1972,0
