task,truth
24,0
42,0
55,0
63,0
70,0
98,0
121,0
131,0
148,0
176,0
206,0
207,1
214,1
232,0
247,0
278,0
317,0
335,0
347,0
350,0
388,1
480,0
481,0
486,0
488,0
507,0
526,1
565,0
611,0
658,0
689,0
696,0
701,0
702,0
717,0
729,0
734,0
764,0
784,0
803,0
804,0
805,0
819,0
824,0
862,0
868,0
877,0
911,0
919,0
948,0
965,0
977,0
980,0
994,0
1026,0
1034,1
1060,0
1119,1
1128,0
1148,0
1150,0
1152,0
1162,0
1170,1
1193,0
1250,0
1303,1
1334,0
1357,0
1385,0
1386,0
1393,0
1400,0
1420,0
1455,1
1463,1
1483,0
1516,0
1523,0
1532,0
1581,0
1587,0
1655,1
1662,1
1672,0
1705,0
1713,1
1739,0
1743,0
1761,0
1763,0
1769,0
1773,1
1780,1
1783,0
1943,0
1947,0
1954,0
1964,0
1988,0
